Rank,Ticker,Name,Weight
304,CSGS,CSG SYSTEMS INTL INC,0.128976
305,PAYO,PAYONEER GLOBAL INC,0.128517
306,CHCO,CITY HOLDING CO,0.127943
307,ROCK,GIBRALTAR INDUSTRIES INC,0.127117
308,VSCO,VICTORIA S SECRET + CO,0.126894
309,HBI,HANESBRANDS INC,0.126823
310,AMR,ALPHA METALLURGICAL RESOURCE,0.126822
311,SHO,SUNSTONE HOTEL INVESTORS INC,0.126661
312,FCF,FIRST COMMONWEALTH FINL CORP,0.126061
313,KN,KNOWLES CORP,0.126018
314,RAMP,LIVERAMP HOLDINGS INC,0.125926
315,SPNT,SIRIUSPOINT LTD,0.125653
316,VYX,NCR VOYIX CORP,0.125635
317,INSW,INTERNATIONAL SEAWAYS INC,0.12556
318,JJSF,J + J SNACK FOODS CORP,0.124866
319,TRUP,TRUPANION INC,0.124833
320,VBTX,VERITEX HOLDINGS INC,0.124582
321,BKE,BUCKLE INC/THE,0.123668
322,NWBI,NORTHWEST BANCSHARES INC,0.123377
323,LTC,LTC PROPERTIES INC,0.122766
324,AORT,ARTIVION INC,0.122656
325,CRGY,CRESCENT ENERGY INC A,0.122273
326,CNMD,CONMED CORP,0.120518
327,NWN,NORTHWEST NATURAL HOLDING CO,0.120455
328,ENOV,ENOVIS CORP,0.119855
329,PGNY,PROGYNY INC,0.119763
330,WERN,WERNER ENTERPRISES INC,0.11966
331,CCS,CENTURY COMMUNITIES INC,0.119005
332,WLY,WILEY (JOHN) + SONS CLASS A,0.11786
333,DRH,DIAMONDROCK HOSPITALITY CO,0.117654
334,NTCT,NETSCOUT SYSTEMS INC,0.116996
335,VSH,VISHAY INTERTECHNOLOGY INC,0.116697
336,ARCB,ARCBEST CORP,0.116221
337,QDEL,QUIDELORTHO CORP,0.115911
338,UFPT,UFP TECHNOLOGIES INC,0.115671
339,HTO,H2O AMERICA,0.115635
340,WT,WISDOMTREE INC,0.114257
341,ADEA,ADEIA INC,0.114127
342,LKFN,LAKELAND FINANCIAL CORP,0.113743
343,KLG,WK KELLOGG CO,0.11353
344,UNFI,UNITED NATURAL FOODS INC,0.113358
345,KMT,KENNAMETAL INC,0.113263
346,LZB,LA Z BOY INC,0.113187
347,CENTA,CENTRAL GARDEN AND PET CO A,0.113008
348,DNOW,DNOW INC,0.112851
349,ARR,ARMOUR RESIDENTIAL REIT INC,0.111064
350,MBC,MASTERBRAND INC,0.111008
351,LNN,LINDSAY CORP,0.110518
352,TNC,TENNANT CO,0.11051
353,SEDG,SOLAREDGE TECHNOLOGIES INC,0.109447
354,DXPE,DXP ENTERPRISES INC,0.108873
355,OMCL,OMNICELL INC,0.108223
356,ANIP,ANI PHARMACEUTICALS INC,0.107883
357,TILE,INTERFACE INC,0.107851
358,SLVM,SYLVAMO CORP,0.10729
359,PZZA,PAPA JOHN S INTL INC,0.107048
360,ELME,ELME COMMUNITIES,0.106952
361,HCI,HCI GROUP INC,0.106581
